time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,2,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,0,0,7,1
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,0,0,3,1
2024-09-11 00:00:00+00:00,3,3,17,1
2024-09-12 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,1,1,7,1
2024-09-20 00:00:00+00:00,1,1,0,0
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-24 00:00:00+00:00,2,2,0,0
2024-09-25 00:00:00+00:00,0,0,5,1
2024-09-30 00:00:00+00:00,0,0,2,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,1,1,1,1
2024-10-06 00:00:00+00:00,0,0,3,1
2024-10-07 00:00:00+00:00,1,1,0,0
2024-10-08 00:00:00+00:00,1,1,1,1
2024-10-09 00:00:00+00:00,2,2,18,5
