time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-13 00:00:00+00:00,1,1,43,40
2024-11-14 00:00:00+00:00,0,0,2,2
2024-11-20 00:00:00+00:00,0,0,2,2
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,0,0,3,2
2024-11-25 00:00:00+00:00,0,0,9,2
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,0,0,1,1
2024-12-01 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,1,1,5,1
2024-12-05 00:00:00+00:00,0,0,8,2
2024-12-06 00:00:00+00:00,0,0,4,2
2024-12-09 00:00:00+00:00,0,0,3,1
2024-12-11 00:00:00+00:00,1,1,1,1
2024-12-12 00:00:00+00:00,0,0,1,1
2024-12-13 00:00:00+00:00,0,0,3,3
2024-12-18 00:00:00+00:00,0,0,2,2
2025-01-03 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,2,1
2025-01-15 00:00:00+00:00,0,0,1,1
2025-01-18 00:00:00+00:00,0,0,5,1
