time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-29 00:00:00+00:00,0,0,2,2
2025-01-30 00:00:00+00:00,0,0,2,2
2025-01-31 00:00:00+00:00,0,0,7,3
2025-02-02 00:00:00+00:00,0,0,3,2
2025-02-03 00:00:00+00:00,2,2,4,1
2025-02-04 00:00:00+00:00,14,11,40,5
2025-02-05 00:00:00+00:00,2,2,3,3
2025-02-06 00:00:00+00:00,1,1,6,5
2025-02-07 00:00:00+00:00,0,0,3,3
2025-02-09 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,5,4
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,2,2,5,2
2025-02-15 00:00:00+00:00,0,0,2,2
2025-02-18 00:00:00+00:00,3,2,8,3
2025-02-19 00:00:00+00:00,2,2,14,3
2025-02-20 00:00:00+00:00,5,5,10,4
2025-02-21 00:00:00+00:00,0,0,7,5
2025-02-22 00:00:00+00:00,0,0,21,2
2025-02-24 00:00:00+00:00,1,1,1,1
2025-02-25 00:00:00+00:00,0,0,13,3
2025-02-26 00:00:00+00:00,0,0,3,3
2025-02-27 00:00:00+00:00,1,1,4,2
2025-02-28 00:00:00+00:00,0,0,11,9
2025-03-02 00:00:00+00:00,0,0,1,1
2025-03-03 00:00:00+00:00,2,2,2,2
2025-03-05 00:00:00+00:00,0,0,15,4
2025-03-06 00:00:00+00:00,2,2,4,2
2025-03-07 00:00:00+00:00,1,1,4,1
2025-03-08 00:00:00+00:00,2,2,4,2
2025-03-09 00:00:00+00:00,0,0,1,1
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-11 00:00:00+00:00,1,1,3,1
2025-03-12 00:00:00+00:00,0,0,7,2
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-14 00:00:00+00:00,0,0,13,5
2025-03-15 00:00:00+00:00,2,2,61,11
2025-03-16 00:00:00+00:00,1,1,56,11
2025-03-18 00:00:00+00:00,0,0,2,1
2025-03-19 00:00:00+00:00,0,0,2,1
2025-03-20 00:00:00+00:00,1,1,20,1
2025-03-21 00:00:00+00:00,23,21,30,3
2025-03-22 00:00:00+00:00,3,2,0,0
2025-03-24 00:00:00+00:00,2,2,1,1
2025-03-25 00:00:00+00:00,1,1,8,3
2025-03-26 00:00:00+00:00,0,0,1,1
2025-03-27 00:00:00+00:00,1,1,2,2
2025-03-28 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,0,0,2,2
2025-04-01 00:00:00+00:00,1,1,7,3
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,0,0,1,1
2025-04-07 00:00:00+00:00,0,0,2,2
2025-04-08 00:00:00+00:00,0,0,1,1
2025-04-09 00:00:00+00:00,0,0,6,4
2025-04-10 00:00:00+00:00,0,0,1,1
2025-04-11 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,1,1,1,1
