time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-07 00:00:00+00:00,0,0,2,2
2025-01-08 00:00:00+00:00,1,1,27,3
2025-01-09 00:00:00+00:00,8,5,40,2
2025-01-12 00:00:00+00:00,0,0,1,1
2025-01-13 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,3,3,10,5
2025-01-16 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,0,0,6,1
2025-01-23 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,2,2
2025-01-29 00:00:00+00:00,0,0,1,1
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-09 00:00:00+00:00,0,0,3,1
2025-02-11 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,2,1,0,0
2025-02-16 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,2,1,0,0
2025-02-23 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,2,1,0,0
2025-02-27 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,2,2,0,0
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,2,2,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-26 00:00:00+00:00,0,0,1,1
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-29 00:00:00+00:00,0,0,3,1
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-09 00:00:00+00:00,1,1,0,0
