time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-21 00:00:00+00:00,8.0,4.0,86,25
2025-03-22 00:00:00+00:00,3.0,2.0,17,6
2025-03-23 00:00:00+00:00,,,8,2
2025-03-24 00:00:00+00:00,10.0,3.0,86,19
2025-03-25 00:00:00+00:00,1.0,1.0,130,21
2025-03-26 00:00:00+00:00,1.0,1.0,135,34
2025-03-27 00:00:00+00:00,4.0,3.0,122,30
2025-03-28 00:00:00+00:00,1.0,1.0,61,20
2025-03-29 00:00:00+00:00,1.0,1.0,62,11
2025-03-30 00:00:00+00:00,3.0,3.0,31,8
2025-03-31 00:00:00+00:00,2.0,2.0,86,21
2025-04-01 00:00:00+00:00,3.0,2.0,76,26
2025-04-02 00:00:00+00:00,3.0,3.0,59,13
2025-04-03 00:00:00+00:00,2.0,2.0,52,13
