time_iso8601,stars_cumulative
2023-11-29 00:00:00+00:00,1
2024-01-16 00:00:00+00:00,2
2024-01-30 00:00:00+00:00,4
2024-02-14 00:00:00+00:00,5
2024-02-18 00:00:00+00:00,6
2024-03-06 00:00:00+00:00,7
2024-03-11 00:00:00+00:00,8
2024-03-14 00:00:00+00:00,9
2024-05-23 00:00:00+00:00,10
2024-06-28 00:00:00+00:00,11
2024-07-12 00:00:00+00:00,12
2024-08-28 00:00:00+00:00,13
2024-09-04 00:00:00+00:00,14
2024-09-08 00:00:00+00:00,15
2024-10-15 00:00:00+00:00,16
2024-10-18 00:00:00+00:00,17
2024-10-23 00:00:00+00:00,19
2024-10-29 00:00:00+00:00,21
2024-11-08 00:00:00+00:00,22
