time_iso8601,forks_cumulative
2024-07-22 00:00:00+00:00,1
2024-07-31 00:00:00+00:00,2
2024-08-01 00:00:00+00:00,3
2024-08-26 00:00:00+00:00,4
2024-09-20 00:00:00+00:00,6
2024-10-08 00:00:00+00:00,7
2024-10-09 00:00:00+00:00,8
2024-10-26 00:00:00+00:00,9
2024-10-28 00:00:00+00:00,10
2024-11-02 00:00:00+00:00,12
2024-11-13 00:00:00+00:00,13
2024-11-17 00:00:00+00:00,14
2024-11-24 00:00:00+00:00,15
2024-11-28 00:00:00+00:00,16
2024-12-13 00:00:00+00:00,17
2024-12-18 00:00:00+00:00,18
2024-12-25 00:00:00+00:00,19
2025-01-18 00:00:00+00:00,20
