time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1,1,613,95
2024-08-29 00:00:00+00:00,4,4,1003,127
2024-08-30 00:00:00+00:00,0,0,653,89
2024-08-31 00:00:00+00:00,2,2,355,61
2024-09-01 00:00:00+00:00,1,1,389,64
2024-09-02 00:00:00+00:00,2,2,713,103
2024-09-03 00:00:00+00:00,3,3,868,99
2024-09-04 00:00:00+00:00,2,2,569,88
2024-09-05 00:00:00+00:00,2,1,738,100
2024-09-06 00:00:00+00:00,6,5,1025,111
2024-09-07 00:00:00+00:00,0,0,304,52
2024-09-08 00:00:00+00:00,3,1,356,60
2024-09-09 00:00:00+00:00,2,1,643,105
2024-09-10 00:00:00+00:00,2,2,975,119
2024-09-11 00:00:00+00:00,2,2,749,97
2024-09-12 00:00:00+00:00,3,1,1059,131
2024-09-13 00:00:00+00:00,1,1,609,94
2024-09-14 00:00:00+00:00,1,1,418,65
2024-09-15 00:00:00+00:00,1,1,247,49
2024-09-16 00:00:00+00:00,0,0,514,91
2024-09-17 00:00:00+00:00,0,0,504,111
2024-09-18 00:00:00+00:00,3,3,1070,161
2024-09-19 00:00:00+00:00,0,0,981,162
2024-09-20 00:00:00+00:00,1,1,820,134
2024-09-21 00:00:00+00:00,0,0,441,72
2024-09-22 00:00:00+00:00,0,0,610,110
2024-09-23 00:00:00+00:00,0,0,723,131
2024-09-24 00:00:00+00:00,0,0,670,133
2024-09-25 00:00:00+00:00,2,2,839,110
2024-09-26 00:00:00+00:00,0,0,275,98
2024-09-27 00:00:00+00:00,3,2,428,86
2024-09-28 00:00:00+00:00,0,0,128,57
2024-09-29 00:00:00+00:00,1,1,179,69
2024-09-30 00:00:00+00:00,1,1,331,93
2024-10-01 00:00:00+00:00,1,1,206,72
2024-10-02 00:00:00+00:00,44,44,137,66
2024-10-03 00:00:00+00:00,0,0,315,93
2024-10-04 00:00:00+00:00,1,1,172,64
2024-10-05 00:00:00+00:00,1,1,149,44
2024-10-06 00:00:00+00:00,1,1,111,41
2024-10-07 00:00:00+00:00,2,1,373,86
2024-10-08 00:00:00+00:00,3,3,438,102
2024-10-09 00:00:00+00:00,2,2,542,119
2024-10-10 00:00:00+00:00,6,5,378,112
2024-10-11 00:00:00+00:00,2,1,285,81
2024-10-12 00:00:00+00:00,1,1,324,84
2024-10-13 00:00:00+00:00,1,1,207,71
2024-10-14 00:00:00+00:00,4,3,330,109
2024-10-15 00:00:00+00:00,1,1,463,125
2024-10-16 00:00:00+00:00,2,2,339,109
2024-10-17 00:00:00+00:00,0,0,532,121
2024-10-18 00:00:00+00:00,2,2,440,111
2024-10-19 00:00:00+00:00,1,1,211,73
2024-10-20 00:00:00+00:00,0,0,194,52
2024-10-21 00:00:00+00:00,6,6,722,152
2024-10-22 00:00:00+00:00,4,4,1108,255
2024-10-23 00:00:00+00:00,5,5,1002,260
2024-10-24 00:00:00+00:00,6,6,931,237
2024-10-25 00:00:00+00:00,5,5,796,194
2024-10-26 00:00:00+00:00,4,3,437,100
2024-10-27 00:00:00+00:00,1,1,282,98
2024-10-28 00:00:00+00:00,6,5,984,229
2024-10-29 00:00:00+00:00,8,8,1026,237
2024-10-30 00:00:00+00:00,4,3,910,228
2024-10-31 00:00:00+00:00,4,4,900,204
2024-11-01 00:00:00+00:00,4,3,594,165
2024-11-02 00:00:00+00:00,1,1,337,80
2024-11-03 00:00:00+00:00,1,1,333,80
2024-11-04 00:00:00+00:00,5,5,947,229
2024-11-05 00:00:00+00:00,5,5,900,242
2024-11-06 00:00:00+00:00,6,4,1014,224
2024-11-07 00:00:00+00:00,14,9,1329,219
