time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-22 00:00:00+00:00,15,10,1205,242
2025-04-23 00:00:00+00:00,21,13,1199,265
2025-04-24 00:00:00+00:00,16,13,1261,264
2025-04-25 00:00:00+00:00,20,15,878,204
2025-04-26 00:00:00+00:00,6,5,311,95
2025-04-27 00:00:00+00:00,2,2,466,122
2025-04-28 00:00:00+00:00,11,10,1116,282
2025-04-29 00:00:00+00:00,10,9,1272,270
2025-04-30 00:00:00+00:00,20,10,1474,265
2025-05-01 00:00:00+00:00,5,4,643,139
2025-05-02 00:00:00+00:00,8,7,852,161
2025-05-03 00:00:00+00:00,1,1,296,79
2025-05-04 00:00:00+00:00,4,4,328,62
2025-05-05 00:00:00+00:00,5,4,1013,191
