time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-28 00:00:00+00:00,1,1,4.0,2.0
2025-01-29 00:00:00+00:00,9,4,25.0,3.0
2025-01-30 00:00:00+00:00,4,3,20.0,2.0
2025-01-31 00:00:00+00:00,4,2,2.0,1.0
2025-02-02 00:00:00+00:00,4,2,,
2025-02-03 00:00:00+00:00,4,3,,
2025-02-04 00:00:00+00:00,1,1,12.0,3.0
2025-02-05 00:00:00+00:00,2,2,32.0,2.0
2025-02-06 00:00:00+00:00,2,1,1.0,1.0
2025-02-07 00:00:00+00:00,3,2,8.0,3.0
2025-02-08 00:00:00+00:00,1,1,,
2025-02-09 00:00:00+00:00,1,1,,
2025-02-10 00:00:00+00:00,11,4,,
