time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-27 00:00:00+00:00,61,3,75,23
2024-12-28 00:00:00+00:00,71,4,11,7
2024-12-29 00:00:00+00:00,73,3,13,6
2024-12-30 00:00:00+00:00,79,3,226,21
2024-12-31 00:00:00+00:00,69,5,178,31
2025-01-01 00:00:00+00:00,64,3,25,7
2025-01-02 00:00:00+00:00,63,5,261,32
2025-01-03 00:00:00+00:00,48,3,190,24
2025-01-04 00:00:00+00:00,61,3,22,6
2025-01-05 00:00:00+00:00,68,3,25,9
2025-01-06 00:00:00+00:00,56,5,181,29
2025-01-07 00:00:00+00:00,64,5,159,21
2025-01-08 00:00:00+00:00,71,4,114,37
2025-01-09 00:00:00+00:00,57,4,93,27
