url_path,views_total,views_unique
/quic/aimet-model-zoo,212,145
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch,65,37
/quic/aimet-model-zoo/tree/develop,50,30
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/quicksrnet,44,20
/quic/aimet-model-zoo/blob/develop/aimet_zoo_torch/quicksrnet/QuickSRNet.md,30,16
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/vit,25,9
/quic/aimet-model-zoo/releases/tag/torchvision_classification_INT4%2F8,23,9
/quic/aimet-model-zoo/releases,21,8
/quic/aimet-model-zoo/blob/develop/LICENSE.pdf,20,12
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/quicksrnet/model,19,13
