time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1,1,1,1
2024-08-29 00:00:00+00:00,0,0,14,2
2024-08-30 00:00:00+00:00,0,0,5,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,1,1
2024-09-03 00:00:00+00:00,0,0,8,3
2024-09-04 00:00:00+00:00,0,0,26,2
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,1,1,2,2
2024-09-12 00:00:00+00:00,4,3,24,2
2024-09-13 00:00:00+00:00,5,4,0,0
2024-09-14 00:00:00+00:00,1,1,1,1
2024-09-17 00:00:00+00:00,0,0,5,1
2024-09-18 00:00:00+00:00,3,3,32,4
2024-09-19 00:00:00+00:00,0,0,9,2
2024-09-20 00:00:00+00:00,0,0,2,2
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,0,0,2,1
2024-09-24 00:00:00+00:00,0,0,2,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-05 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,1,1,5,2
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,1,1,0,0
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,1,1,0,0
