time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-04 00:00:00+00:00,7.0,7.0,126,8
2024-09-05 00:00:00+00:00,2.0,2.0,25,6
2024-09-06 00:00:00+00:00,1.0,1.0,14,3
2024-09-07 00:00:00+00:00,,,5,2
2024-09-08 00:00:00+00:00,,,7,1
2024-09-09 00:00:00+00:00,1.0,1.0,31,7
2024-09-10 00:00:00+00:00,,,11,6
2024-09-11 00:00:00+00:00,1.0,1.0,132,4
2024-09-13 00:00:00+00:00,,,13,2
2024-09-14 00:00:00+00:00,,,20,2
2024-09-15 00:00:00+00:00,1.0,1.0,3,2
2024-09-16 00:00:00+00:00,,,14,2
2024-09-17 00:00:00+00:00,,,18,2
