time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,0,0,1,1
2024-08-30 00:00:00+00:00,0,0,1,1
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,2,2,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,1,1,0,0
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,0,0,2,1
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-25 00:00:00+00:00,0,0,3,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-03 00:00:00+00:00,1,1,0,0
2024-10-05 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,2,1
2024-10-13 00:00:00+00:00,0,0,5,1
2024-10-14 00:00:00+00:00,0,0,4,2
2024-10-16 00:00:00+00:00,1,1,0,0
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,3,3,0,0
2024-10-28 00:00:00+00:00,0,0,2,1
2024-11-07 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,1,1,1,1
