time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,1,1,13,3
2024-08-31 00:00:00+00:00,0,0,4,1
2024-09-01 00:00:00+00:00,0,0,2,1
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,1,1,19,4
2024-09-19 00:00:00+00:00,0,0,5,2
2024-09-20 00:00:00+00:00,4,1,22,1
2024-09-23 00:00:00+00:00,0,0,1,1
2024-09-27 00:00:00+00:00,0,0,1,1
2024-09-28 00:00:00+00:00,0,0,11,2
2024-10-01 00:00:00+00:00,0,0,2,1
2024-10-05 00:00:00+00:00,0,0,1,1
2024-10-08 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,1,1,5,2
2024-10-17 00:00:00+00:00,1,1,10,2
2024-10-21 00:00:00+00:00,1,1,9,2
2024-10-22 00:00:00+00:00,0,0,3,2
2024-10-23 00:00:00+00:00,1,1,1,1
2024-10-24 00:00:00+00:00,0,0,2,1
2024-10-25 00:00:00+00:00,0,0,10,3
2024-10-26 00:00:00+00:00,0,0,1,1
2024-10-27 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,1,1,0,0
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,0,0,1,1
