time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,0,0,1,1
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-19 00:00:00+00:00,0,0,1,1
2024-09-25 00:00:00+00:00,0,0,3,1
2024-09-26 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,0,0,8,1
2024-10-11 00:00:00+00:00,3,1,0,0
2024-10-13 00:00:00+00:00,0,0,2,1
2024-10-15 00:00:00+00:00,0,0,16,2
2024-10-17 00:00:00+00:00,0,0,4,1
2024-10-18 00:00:00+00:00,3,2,9,1
2024-10-19 00:00:00+00:00,1,1,11,4
2024-10-20 00:00:00+00:00,1,1,0,0
2024-10-21 00:00:00+00:00,0,0,11,5
2024-10-22 00:00:00+00:00,0,0,16,5
2024-10-23 00:00:00+00:00,1,1,6,3
2024-10-24 00:00:00+00:00,0,0,5,1
2024-10-25 00:00:00+00:00,2,1,7,1
2024-10-26 00:00:00+00:00,1,1,7,2
2024-10-27 00:00:00+00:00,1,1,1,1
2024-10-28 00:00:00+00:00,0,0,6,1
2024-10-29 00:00:00+00:00,1,1,8,2
2024-10-30 00:00:00+00:00,0,0,2,2
2024-11-02 00:00:00+00:00,1,1,1,1
2024-11-05 00:00:00+00:00,0,0,6,2
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,2,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,0,0,2,1
2024-11-15 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,0,0,2,2
