url_path,views_total,views_unique
/quic/cbsp-boot-utilities/tree/main/uefi_capsule_generation,43,19
/quic/cbsp-boot-utilities/blob/main/uefi_capsule_generation/README.md,36,17
/quic/cbsp-boot-utilities,33,18
/quic/cbsp-boot-utilities/blob/main/uefi_capsule_generation/FvUpdate.xml,19,8
/quic/cbsp-boot-utilities/blob/main/uefi_capsule_generation/FirmwarePartitions.md,17,8
/quic/cbsp-boot-utilities/branches/all,15,2
/quic/cbsp-boot-utilities/blob/main/uefi_sec/uefi_sec.c,14,9
/quic/cbsp-boot-utilities/blob/main/uefi_capsule_generation/FvUpdate_UFS.xml,13,8
/quic/cbsp-boot-utilities/blob/ba1ea8d0fdb24857553730aa247eb602c7b589ba/uefi_capsule_generation/README.md,13,4
/quic/cbsp-boot-utilities/tree/ba1ea8d0fdb24857553730aa247eb602c7b589ba/uefi_capsule_generation,12,8
