time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,319,35,4.0,3.0
2025-05-29 00:00:00+00:00,182,26,15.0,5.0
2025-05-30 00:00:00+00:00,233,27,13.0,2.0
2025-05-31 00:00:00+00:00,90,10,,
2025-06-01 00:00:00+00:00,163,9,1.0,1.0
2025-06-02 00:00:00+00:00,200,27,9.0,3.0
2025-06-03 00:00:00+00:00,214,33,7.0,5.0
2025-06-04 00:00:00+00:00,134,29,8.0,4.0
2025-06-05 00:00:00+00:00,169,16,9.0,5.0
2025-06-06 00:00:00+00:00,178,21,5.0,1.0
2025-06-07 00:00:00+00:00,202,9,,
2025-06-08 00:00:00+00:00,60,8,,
2025-06-09 00:00:00+00:00,405,34,7.0,6.0
2025-06-10 00:00:00+00:00,448,36,7.0,4.0
