time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,1,1,85,19
2024-11-20 00:00:00+00:00,2,2,52,7
2024-11-21 00:00:00+00:00,6,5,173,7
2024-11-22 00:00:00+00:00,5,3,44,7
2024-11-25 00:00:00+00:00,1,1,13,5
2024-11-26 00:00:00+00:00,0,0,5,2
2024-11-27 00:00:00+00:00,1,1,4,2
2024-11-28 00:00:00+00:00,1,1,105,3
2024-11-29 00:00:00+00:00,1,1,10,3
2024-11-30 00:00:00+00:00,0,0,3,1
2024-12-01 00:00:00+00:00,0,0,9,1
2024-12-02 00:00:00+00:00,2,1,10,5
2024-12-03 00:00:00+00:00,36,1,18,5
2024-12-04 00:00:00+00:00,52,1,16,3
2024-12-05 00:00:00+00:00,7,4,4,1
2024-12-06 00:00:00+00:00,18,1,0,0
2024-12-07 00:00:00+00:00,20,4,0,0
2024-12-08 00:00:00+00:00,34,5,0,0
2024-12-09 00:00:00+00:00,28,7,10,2
2024-12-10 00:00:00+00:00,52,10,41,4
2024-12-11 00:00:00+00:00,50,13,9,2
2024-12-12 00:00:00+00:00,75,14,6,3
2024-12-13 00:00:00+00:00,63,10,4,3
2024-12-14 00:00:00+00:00,75,7,0,0
2024-12-15 00:00:00+00:00,29,1,0,0
2024-12-16 00:00:00+00:00,87,9,4,3
2024-12-17 00:00:00+00:00,52,8,5,3
2024-12-18 00:00:00+00:00,110,11,2,2
