time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,2,2,3,2
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,0,0,2,1
2024-09-05 00:00:00+00:00,0,0,5,4
2024-09-06 00:00:00+00:00,3,2,12,1
2024-09-08 00:00:00+00:00,0,0,4,4
2024-09-09 00:00:00+00:00,1,1,23,8
2024-09-10 00:00:00+00:00,2,2,2,1
2024-09-11 00:00:00+00:00,1,1,9,3
2024-09-12 00:00:00+00:00,0,0,9,7
2024-09-13 00:00:00+00:00,0,0,4,4
2024-09-16 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,0,0,5,3
2024-09-20 00:00:00+00:00,1,1,0,0
2024-09-21 00:00:00+00:00,0,0,32,1
2024-09-23 00:00:00+00:00,0,0,1,1
2024-09-27 00:00:00+00:00,1,1,0,0
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,0,0,2,1
2024-10-08 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,13,4
2024-10-11 00:00:00+00:00,0,0,7,2
2024-10-14 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,4,3,9,2
2024-10-16 00:00:00+00:00,0,0,2,1
2024-10-17 00:00:00+00:00,0,0,1,1
2024-10-19 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,0,0,3,2
2024-10-27 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,0,0,5,2
2024-10-31 00:00:00+00:00,6,2,21,3
2024-11-01 00:00:00+00:00,1,1,1,1
2024-11-03 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,0,0,1,1
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,0,0,2,2
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-22 00:00:00+00:00,0,0,3,2
2024-11-25 00:00:00+00:00,0,0,33,1
2024-11-26 00:00:00+00:00,0,0,4,1
2024-11-28 00:00:00+00:00,1,1,7,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-11-30 00:00:00+00:00,1,1,1,1
2024-12-01 00:00:00+00:00,1,1,0,0
2024-12-02 00:00:00+00:00,1,1,7,1
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,1,1,2,1
2024-12-12 00:00:00+00:00,0,0,2,1
2024-12-19 00:00:00+00:00,0,0,2,1
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-23 00:00:00+00:00,0,0,1,1
2024-12-29 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,0,0,19,1
2024-12-31 00:00:00+00:00,0,0,3,1
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,0,0,13,2
2025-01-08 00:00:00+00:00,3,3,67,3
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,0,0,1,1
2025-01-18 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,0,0,3,2
2025-01-23 00:00:00+00:00,1,1,0,0
2025-01-24 00:00:00+00:00,0,0,8,1
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,5,2
2025-02-13 00:00:00+00:00,2,1,0,0
2025-02-18 00:00:00+00:00,2,2,1,1
2025-02-20 00:00:00+00:00,2,1,0,0
2025-02-24 00:00:00+00:00,2,1,14,1
2025-02-25 00:00:00+00:00,0,0,15,3
2025-02-26 00:00:00+00:00,0,0,22,2
2025-02-27 00:00:00+00:00,3,3,15,3
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,0,0,1,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,1,1
2025-03-12 00:00:00+00:00,1,1,0,0
2025-03-13 00:00:00+00:00,0,0,2,2
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-19 00:00:00+00:00,0,0,1,1
2025-03-20 00:00:00+00:00,0,0,4,2
2025-03-21 00:00:00+00:00,2,2,0,0
2025-03-24 00:00:00+00:00,2,2,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-03-27 00:00:00+00:00,1,1,1,1
2025-03-28 00:00:00+00:00,1,1,0,0
2025-03-30 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,1,1,0,0
2025-04-12 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,2,2,0,0
2025-04-16 00:00:00+00:00,1,1,0,0
