time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-30 00:00:00+00:00,1.0,1.0,173,39
2024-10-31 00:00:00+00:00,,,136,26
2024-11-01 00:00:00+00:00,2.0,2.0,58,12
2024-11-02 00:00:00+00:00,,,4,4
2024-11-03 00:00:00+00:00,1.0,1.0,62,8
2024-11-04 00:00:00+00:00,2.0,2.0,110,29
2024-11-05 00:00:00+00:00,,,264,41
2024-11-06 00:00:00+00:00,2.0,2.0,104,28
2024-11-07 00:00:00+00:00,,,91,27
2024-11-08 00:00:00+00:00,3.0,3.0,86,22
2024-11-09 00:00:00+00:00,,,21,6
2024-11-10 00:00:00+00:00,,,20,5
2024-11-11 00:00:00+00:00,,,139,32
2024-11-12 00:00:00+00:00,1.0,1.0,70,15
