url_path,views_total,views_unique
/quic/cloud-ai-sdk,167,111
/quic/cloud-ai-sdk/tree/1.17/models,40,32
/quic/cloud-ai-sdk/tree/1.17/tutorials,40,23
/quic/cloud-ai-sdk/tree/1.17,29,20
/quic/cloud-ai-sdk/tree/1.17/tutorials/NLP,29,16
/quic/cloud-ai-sdk/tree/1.17/samples,20,17
/quic/cloud-ai-sdk/tree/1.17/utils/multi-device,18,13
/quic/cloud-ai-sdk/tree/1.12,17,7
/quic/cloud-ai-sdk/tree/1.17/tutorials/Computer-Vision/Perfomance-Tuning-Beginner,14,13
/quic/cloud-ai-sdk/tree/1.10/tutorials/NLP/Profiler-Intermediate,14,10
