time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,3,3,236,34
2024-08-29 00:00:00+00:00,3,3,276,27
2024-08-30 00:00:00+00:00,1,1,91,19
2024-08-31 00:00:00+00:00,3,3,139,4
2024-09-01 00:00:00+00:00,0,0,3,3
2024-09-02 00:00:00+00:00,0,0,149,17
2024-09-03 00:00:00+00:00,0,0,291,28
2024-09-04 00:00:00+00:00,3,2,411,28
2024-09-05 00:00:00+00:00,2,2,306,37
2024-09-06 00:00:00+00:00,0,0,314,22
2024-09-07 00:00:00+00:00,0,0,38,4
2024-09-08 00:00:00+00:00,3,3,34,12
2024-09-09 00:00:00+00:00,2,2,271,32
2024-09-10 00:00:00+00:00,0,0,212,22
2024-09-11 00:00:00+00:00,5,5,384,35
2024-09-12 00:00:00+00:00,1,1,290,27
2024-09-13 00:00:00+00:00,0,0,200,17
2024-09-14 00:00:00+00:00,0,0,33,5
2024-09-15 00:00:00+00:00,0,0,30,5
2024-09-16 00:00:00+00:00,0,0,227,18
2024-09-17 00:00:00+00:00,2,2,476,43
2024-09-18 00:00:00+00:00,1,1,170,35
2024-09-19 00:00:00+00:00,1,1,313,38
2024-09-20 00:00:00+00:00,7,6,313,33
2024-09-21 00:00:00+00:00,0,0,43,16
2024-09-22 00:00:00+00:00,1,1,10,4
2024-09-23 00:00:00+00:00,0,0,128,28
2024-09-24 00:00:00+00:00,4,3,228,28
2024-09-25 00:00:00+00:00,4,4,613,34
2024-09-26 00:00:00+00:00,5,4,174,31
2024-09-27 00:00:00+00:00,5,5,133,24
2024-09-28 00:00:00+00:00,0,0,94,9
2024-09-29 00:00:00+00:00,1,1,97,14
2024-09-30 00:00:00+00:00,1,1,152,30
2024-10-01 00:00:00+00:00,1,1,162,28
2024-10-02 00:00:00+00:00,0,0,63,18
2024-10-03 00:00:00+00:00,0,0,144,33
2024-10-04 00:00:00+00:00,0,0,146,28
2024-10-05 00:00:00+00:00,0,0,10,2
2024-10-06 00:00:00+00:00,0,0,51,8
2024-10-07 00:00:00+00:00,1,1,153,38
