time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-08 00:00:00+00:00,1.0,1.0,11,4
2025-01-09 00:00:00+00:00,2.0,2.0,66,9
2025-01-10 00:00:00+00:00,4.0,3.0,36,5
2025-01-11 00:00:00+00:00,1.0,1.0,24,2
2025-01-12 00:00:00+00:00,,,3,3
2025-01-13 00:00:00+00:00,10.0,6.0,100,13
2025-01-14 00:00:00+00:00,,,12,2
2025-01-15 00:00:00+00:00,,,1,1
2025-01-16 00:00:00+00:00,1.0,1.0,10,2
2025-01-17 00:00:00+00:00,1.0,1.0,18,9
2025-01-18 00:00:00+00:00,,,5,4
2025-01-20 00:00:00+00:00,6.0,5.0,20,1
