time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,0,0,4,4
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-21 00:00:00+00:00,0,0,3,2
2024-11-26 00:00:00+00:00,2,2,19,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-01 00:00:00+00:00,0,0,4,1
2024-12-02 00:00:00+00:00,0,0,2,1
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-09 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,2,2,0,0
2024-12-12 00:00:00+00:00,0,0,14,2
2024-12-16 00:00:00+00:00,1,1,11,5
2024-12-17 00:00:00+00:00,1,1,16,7
2024-12-18 00:00:00+00:00,0,0,5,4
2024-12-19 00:00:00+00:00,1,1,8,5
2024-12-23 00:00:00+00:00,0,0,1,1
2024-12-24 00:00:00+00:00,0,0,1,1
2024-12-29 00:00:00+00:00,0,0,3,2
2024-12-30 00:00:00+00:00,1,1,4,1
2024-12-31 00:00:00+00:00,0,0,4,1
2025-01-02 00:00:00+00:00,0,0,8,1
2025-01-03 00:00:00+00:00,0,0,8,1
2025-01-04 00:00:00+00:00,0,0,20,4
2025-01-05 00:00:00+00:00,1,1,10,4
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,1,1,11,4
2025-01-09 00:00:00+00:00,2,2,66,9
2025-01-10 00:00:00+00:00,4,3,36,5
2025-01-11 00:00:00+00:00,1,1,24,2
2025-01-12 00:00:00+00:00,0,0,3,3
