time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-28 00:00:00+00:00,0,0,12,3
2024-12-02 00:00:00+00:00,1,1,10,2
2024-12-03 00:00:00+00:00,1,1,20,3
2024-12-04 00:00:00+00:00,4,3,37,7
2024-12-05 00:00:00+00:00,2,2,55,8
2024-12-06 00:00:00+00:00,0,0,3,1
2024-12-07 00:00:00+00:00,1,1,1,1
2024-12-09 00:00:00+00:00,0,0,12,2
2024-12-10 00:00:00+00:00,0,0,5,1
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-12 00:00:00+00:00,0,0,7,2
2024-12-16 00:00:00+00:00,0,0,10,2
2024-12-18 00:00:00+00:00,0,0,19,2
2024-12-19 00:00:00+00:00,4,2,58,4
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-21 00:00:00+00:00,0,0,3,3
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,2,1
2025-01-06 00:00:00+00:00,0,0,3,1
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,14,1
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,0,0,2,1
2025-01-17 00:00:00+00:00,1,1,2,1
