time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,0,0,1,1
2024-08-30 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,1,1,1,1
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-07 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,0,0,1,1
2024-09-16 00:00:00+00:00,0,0,3,1
2024-09-17 00:00:00+00:00,0,0,7,1
2024-09-23 00:00:00+00:00,0,0,1,1
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,0,0,2,2
2024-10-06 00:00:00+00:00,0,0,1,1
2024-10-08 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,1,1,0,0
2024-10-14 00:00:00+00:00,0,0,2,1
2024-10-15 00:00:00+00:00,0,0,2,2
2024-10-17 00:00:00+00:00,0,0,6,3
2024-10-25 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,0,0,3,2
2024-11-11 00:00:00+00:00,0,0,5,2
2024-11-12 00:00:00+00:00,0,0,4,2
2024-11-15 00:00:00+00:00,0,0,1,1
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-22 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,2,2,2,1
2024-12-16 00:00:00+00:00,1,1,0,0
2024-12-18 00:00:00+00:00,0,0,3,1
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,1,1
2024-12-25 00:00:00+00:00,0,0,1,1
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-04 00:00:00+00:00,0,0,6,2
2025-01-07 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,1,1
2025-01-12 00:00:00+00:00,0,0,1,1
2025-01-16 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-21 00:00:00+00:00,0,0,2,2
2025-01-25 00:00:00+00:00,0,0,1,1
2025-01-30 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,0,0,3,1
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,0,0,1,1
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-07 00:00:00+00:00,0,0,2,1
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,0,0,2,1
2025-02-13 00:00:00+00:00,2,1,0,0
2025-02-16 00:00:00+00:00,0,0,1,1
2025-02-18 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,3,2,0,0
2025-02-24 00:00:00+00:00,2,1,0,0
2025-03-03 00:00:00+00:00,0,0,1,1
2025-03-05 00:00:00+00:00,0,0,1,1
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,3,1
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-23 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-03-26 00:00:00+00:00,1,1,1,1
2025-03-27 00:00:00+00:00,1,1,1,1
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,10,1
2025-04-04 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,0,0,2,2
2025-04-10 00:00:00+00:00,0,0,1,1
2025-04-14 00:00:00+00:00,1,1,1,1
2025-04-15 00:00:00+00:00,0,0,16,1
