url_path,views_total,views_unique
/quic/efficient-transformers,405,160
/quic/efficient-transformers/pulls,285,37
/quic/efficient-transformers/tree/main/QEfficient,149,56
/quic/efficient-transformers/tree/main,121,64
/quic/efficient-transformers/pull/289,85,5
/quic/efficient-transformers/pull/382,84,16
/quic/efficient-transformers/pull/289/commits,66,4
/quic/efficient-transformers/pull/387,45,5
/quic/efficient-transformers/tree/main/QEfficient/transformers,44,24
/quic/efficient-transformers/tree/main/QEfficient/transformers/models,43,22
