time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-26 00:00:00+00:00,207,16,486,56
2025-05-27 00:00:00+00:00,259,21,531,73
2025-05-28 00:00:00+00:00,229,19,424,77
2025-05-29 00:00:00+00:00,391,29,502,61
2025-05-30 00:00:00+00:00,231,18,345,53
2025-05-31 00:00:00+00:00,68,12,48,14
2025-06-01 00:00:00+00:00,108,11,93,20
2025-06-02 00:00:00+00:00,198,16,284,52
2025-06-03 00:00:00+00:00,277,26,489,57
2025-06-04 00:00:00+00:00,148,23,515,72
2025-06-05 00:00:00+00:00,262,26,387,65
2025-06-06 00:00:00+00:00,279,24,470,54
2025-06-07 00:00:00+00:00,69,11,30,14
2025-06-08 00:00:00+00:00,45,12,65,14
