time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,32,12,452,43
2024-08-29 00:00:00+00:00,48,18,709,55
2024-08-30 00:00:00+00:00,49,12,510,49
2024-08-31 00:00:00+00:00,11,4,48,6
2024-09-01 00:00:00+00:00,1,1,34,12
2024-09-02 00:00:00+00:00,32,11,557,47
2024-09-03 00:00:00+00:00,53,8,467,64
2024-09-04 00:00:00+00:00,34,11,807,56
2024-09-05 00:00:00+00:00,31,16,446,54
2024-09-06 00:00:00+00:00,66,17,775,54
2024-09-07 00:00:00+00:00,9,4,83,7
2024-09-08 00:00:00+00:00,12,4,160,25
2024-09-09 00:00:00+00:00,43,12,471,48
2024-09-10 00:00:00+00:00,45,11,720,53
2024-09-11 00:00:00+00:00,50,13,832,55
2024-09-12 00:00:00+00:00,56,12,479,51
2024-09-13 00:00:00+00:00,119,23,847,46
2024-09-14 00:00:00+00:00,18,6,209,21
2024-09-15 00:00:00+00:00,4,3,67,14
2024-09-16 00:00:00+00:00,130,19,822,54
2024-09-17 00:00:00+00:00,101,15,732,67
2024-09-18 00:00:00+00:00,91,18,752,60
2024-09-19 00:00:00+00:00,66,14,539,47
2024-09-20 00:00:00+00:00,137,18,642,45
2024-09-21 00:00:00+00:00,22,4,40,7
2024-09-22 00:00:00+00:00,16,1,57,13
2024-09-23 00:00:00+00:00,76,17,509,64
2024-09-24 00:00:00+00:00,80,13,682,41
2024-09-25 00:00:00+00:00,103,12,790,42
2024-09-26 00:00:00+00:00,52,18,430,61
2024-09-27 00:00:00+00:00,44,11,396,51
2024-09-28 00:00:00+00:00,15,2,39,13
2024-09-29 00:00:00+00:00,40,6,88,20
2024-09-30 00:00:00+00:00,66,21,773,47
2024-10-01 00:00:00+00:00,47,14,323,53
2024-10-02 00:00:00+00:00,74,68,112,29
2024-10-03 00:00:00+00:00,59,12,461,43
2024-10-04 00:00:00+00:00,93,13,413,62
2024-10-05 00:00:00+00:00,4,2,35,11
2024-10-06 00:00:00+00:00,9,2,36,9
2024-10-07 00:00:00+00:00,61,17,589,57
2024-10-08 00:00:00+00:00,57,15,573,68
2024-10-09 00:00:00+00:00,81,18,595,56
2024-10-10 00:00:00+00:00,56,15,583,57
2024-10-11 00:00:00+00:00,17,11,169,33
2024-10-12 00:00:00+00:00,5,4,25,10
2024-10-13 00:00:00+00:00,0,0,32,15
2024-10-14 00:00:00+00:00,56,13,473,63
2024-10-15 00:00:00+00:00,98,15,375,48
2024-10-16 00:00:00+00:00,131,16,569,61
2024-10-17 00:00:00+00:00,78,14,684,49
2024-10-18 00:00:00+00:00,37,15,320,44
2024-10-19 00:00:00+00:00,10,8,53,16
2024-10-20 00:00:00+00:00,8,6,20,12
2024-10-21 00:00:00+00:00,34,11,310,38
2024-10-22 00:00:00+00:00,95,20,734,81
2024-10-23 00:00:00+00:00,80,19,445,64
2024-10-24 00:00:00+00:00,44,15,488,64
2024-10-25 00:00:00+00:00,23,10,319,53
2024-10-26 00:00:00+00:00,10,5,31,10
2024-10-27 00:00:00+00:00,8,5,29,14
2024-10-28 00:00:00+00:00,76,14,575,71
2024-10-29 00:00:00+00:00,40,12,308,51
2024-10-30 00:00:00+00:00,45,13,435,56
2024-10-31 00:00:00+00:00,37,9,140,35
2024-11-01 00:00:00+00:00,9,6,137,27
2024-11-02 00:00:00+00:00,11,6,22,5
2024-11-03 00:00:00+00:00,7,4,32,13
2024-11-04 00:00:00+00:00,87,14,404,53
2024-11-05 00:00:00+00:00,102,14,690,77
2024-11-06 00:00:00+00:00,33,16,472,75
2024-11-07 00:00:00+00:00,51,8,388,59
2024-11-08 00:00:00+00:00,16,8,43,20
2024-11-09 00:00:00+00:00,8,7,42,13
2024-11-10 00:00:00+00:00,11,6,93,19
2024-11-11 00:00:00+00:00,74,18,522,58
2024-11-12 00:00:00+00:00,67,21,590,61
2024-11-13 00:00:00+00:00,65,13,562,53
2024-11-14 00:00:00+00:00,39,17,337,52
2024-11-15 00:00:00+00:00,36,7,320,50
2024-11-16 00:00:00+00:00,4,3,27,9
2024-11-17 00:00:00+00:00,5,4,38,16
2024-11-18 00:00:00+00:00,45,16,406,65
2024-11-19 00:00:00+00:00,66,17,467,46
2024-11-20 00:00:00+00:00,36,15,488,52
2024-11-21 00:00:00+00:00,62,17,401,52
2024-11-22 00:00:00+00:00,38,11,450,42
2024-11-23 00:00:00+00:00,7,6,54,9
2024-11-24 00:00:00+00:00,29,7,135,18
2024-11-25 00:00:00+00:00,37,14,490,61
2024-11-26 00:00:00+00:00,56,13,413,51
2024-11-27 00:00:00+00:00,40,11,316,47
2024-11-28 00:00:00+00:00,31,14,244,33
