time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-26 00:00:00+00:00,1.0,1.0,23.0,1.0
2025-02-27 00:00:00+00:00,,,9.0,2.0
2025-02-28 00:00:00+00:00,,,1.0,1.0
2025-03-01 00:00:00+00:00,,,13.0,6.0
2025-03-02 00:00:00+00:00,5.0,5.0,393.0,247.0
2025-03-03 00:00:00+00:00,8.0,6.0,300.0,162.0
2025-03-04 00:00:00+00:00,,,57.0,39.0
2025-03-05 00:00:00+00:00,1.0,1.0,25.0,16.0
2025-03-06 00:00:00+00:00,2.0,2.0,8.0,8.0
2025-03-07 00:00:00+00:00,2.0,2.0,10.0,6.0
2025-03-08 00:00:00+00:00,,,11.0,5.0
2025-03-09 00:00:00+00:00,,,8.0,3.0
2025-03-10 00:00:00+00:00,7.0,6.0,10.0,5.0
2025-03-11 00:00:00+00:00,3.0,3.0,6.0,4.0
2025-03-12 00:00:00+00:00,3.0,2.0,,
