time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-31 00:00:00+00:00,0,0,6,5
2025-02-03 00:00:00+00:00,0,0,6,3
2025-02-04 00:00:00+00:00,0,0,10,3
2025-02-05 00:00:00+00:00,0,0,40,2
2025-02-06 00:00:00+00:00,5,4,5,2
2025-02-07 00:00:00+00:00,3,3,2,1
2025-02-09 00:00:00+00:00,3,3,0,0
2025-02-10 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,0,0,1,1
2025-02-18 00:00:00+00:00,1,1,0,0
2025-02-19 00:00:00+00:00,1,1,21,12
2025-02-20 00:00:00+00:00,8,7,81,14
2025-02-21 00:00:00+00:00,0,0,90,11
2025-02-22 00:00:00+00:00,0,0,32,2
2025-02-23 00:00:00+00:00,0,0,26,4
2025-02-24 00:00:00+00:00,3,2,56,4
2025-02-25 00:00:00+00:00,3,3,12,3
2025-02-26 00:00:00+00:00,1,1,23,1
2025-02-27 00:00:00+00:00,0,0,9,2
2025-02-28 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,0,0,13,6
2025-03-02 00:00:00+00:00,5,5,393,247
2025-03-03 00:00:00+00:00,8,6,300,162
2025-03-04 00:00:00+00:00,0,0,57,39
2025-03-05 00:00:00+00:00,1,1,25,16
2025-03-06 00:00:00+00:00,2,2,8,8
2025-03-07 00:00:00+00:00,2,2,10,6
2025-03-08 00:00:00+00:00,0,0,11,5
2025-03-09 00:00:00+00:00,0,0,8,3
2025-03-10 00:00:00+00:00,7,6,10,5
2025-03-11 00:00:00+00:00,3,3,6,4
2025-03-12 00:00:00+00:00,5,4,13,3
2025-03-13 00:00:00+00:00,1,1,7,7
2025-03-15 00:00:00+00:00,6,3,17,3
2025-03-16 00:00:00+00:00,1,1,2,2
2025-03-17 00:00:00+00:00,0,0,4,2
2025-03-18 00:00:00+00:00,5,4,3,3
2025-03-19 00:00:00+00:00,4,4,16,6
2025-03-20 00:00:00+00:00,6,5,3,2
2025-03-21 00:00:00+00:00,11,8,5,2
2025-03-22 00:00:00+00:00,3,3,0,0
2025-03-23 00:00:00+00:00,1,1,1,1
2025-03-24 00:00:00+00:00,2,2,1,1
2025-03-25 00:00:00+00:00,0,0,3,2
2025-03-26 00:00:00+00:00,1,1,1,1
2025-03-27 00:00:00+00:00,2,2,20,5
2025-03-28 00:00:00+00:00,2,2,7,5
2025-03-29 00:00:00+00:00,2,2,1,1
2025-03-30 00:00:00+00:00,0,0,1,1
2025-03-31 00:00:00+00:00,0,0,1,1
2025-04-01 00:00:00+00:00,7,6,22,7
2025-04-02 00:00:00+00:00,1,1,8,2
2025-04-03 00:00:00+00:00,2,2,5,2
2025-04-04 00:00:00+00:00,1,1,13,2
2025-04-05 00:00:00+00:00,5,3,3,1
2025-04-06 00:00:00+00:00,0,0,3,1
2025-04-07 00:00:00+00:00,1,1,3,2
2025-04-08 00:00:00+00:00,0,0,10,4
2025-04-09 00:00:00+00:00,3,3,2,2
2025-04-10 00:00:00+00:00,1,1,1,1
2025-04-11 00:00:00+00:00,1,1,12,4
2025-04-12 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,2,2,1,1
2025-04-15 00:00:00+00:00,0,0,5,2
2025-04-16 00:00:00+00:00,1,1,1,1
2025-04-17 00:00:00+00:00,1,1,0,0
2025-04-18 00:00:00+00:00,1,1,0,0
2025-04-19 00:00:00+00:00,1,1,1,1
2025-04-20 00:00:00+00:00,0,0,1,1
2025-04-21 00:00:00+00:00,1,1,4,2
2025-04-22 00:00:00+00:00,0,0,3,3
2025-04-23 00:00:00+00:00,3,3,1,1
2025-04-24 00:00:00+00:00,3,3,11,3
2025-04-25 00:00:00+00:00,0,0,8,3
