time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-07 00:00:00+00:00,84,5,70,16
2025-05-08 00:00:00+00:00,84,6,85,28
2025-05-09 00:00:00+00:00,123,10,96,23
2025-05-10 00:00:00+00:00,37,2,31,23
2025-05-11 00:00:00+00:00,29,6,4,2
2025-05-12 00:00:00+00:00,39,8,133,24
2025-05-13 00:00:00+00:00,22,6,103,23
2025-05-14 00:00:00+00:00,122,18,270,30
2025-05-15 00:00:00+00:00,97,19,170,16
2025-05-16 00:00:00+00:00,102,18,120,25
2025-05-17 00:00:00+00:00,13,3,5,3
2025-05-18 00:00:00+00:00,45,5,9,3
2025-05-19 00:00:00+00:00,84,12,124,23
2025-05-20 00:00:00+00:00,35,10,94,16
