time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1,1,30,5
2024-08-29 00:00:00+00:00,1,1,15,4
2024-08-30 00:00:00+00:00,1,1,13,8
2024-08-31 00:00:00+00:00,2,2,4,2
2024-09-02 00:00:00+00:00,1,1,67,7
2024-09-03 00:00:00+00:00,1,1,22,8
2024-09-04 00:00:00+00:00,0,0,88,10
2024-09-05 00:00:00+00:00,7,2,37,6
2024-09-06 00:00:00+00:00,0,0,13,3
2024-09-07 00:00:00+00:00,0,0,9,4
2024-09-08 00:00:00+00:00,0,0,2,1
2024-09-09 00:00:00+00:00,2,1,206,10
2024-09-10 00:00:00+00:00,2,2,43,18
2024-09-11 00:00:00+00:00,0,0,11,7
2024-09-12 00:00:00+00:00,2,1,96,14
2024-09-13 00:00:00+00:00,10,4,182,10
2024-09-14 00:00:00+00:00,4,2,78,10
2024-09-15 00:00:00+00:00,0,0,45,3
2024-09-16 00:00:00+00:00,6,2,46,6
2024-09-17 00:00:00+00:00,7,4,100,9
2024-09-18 00:00:00+00:00,13,3,42,7
2024-09-19 00:00:00+00:00,6,2,29,10
2024-09-20 00:00:00+00:00,24,3,42,8
2024-09-21 00:00:00+00:00,13,2,81,8
2024-09-22 00:00:00+00:00,13,4,51,3
2024-09-23 00:00:00+00:00,37,11,135,11
2024-09-24 00:00:00+00:00,32,7,67,10
2024-09-25 00:00:00+00:00,22,3,71,13
2024-09-26 00:00:00+00:00,15,3,108,8
2024-09-27 00:00:00+00:00,35,8,231,13
2024-09-28 00:00:00+00:00,3,2,5,5
2024-09-29 00:00:00+00:00,7,5,11,1
2024-09-30 00:00:00+00:00,13,5,70,9
2024-10-01 00:00:00+00:00,15,2,112,15
2024-10-02 00:00:00+00:00,50,43,9,7
2024-10-03 00:00:00+00:00,12,2,73,13
2024-10-04 00:00:00+00:00,50,7,227,15
2024-10-05 00:00:00+00:00,8,1,3,2
2024-10-06 00:00:00+00:00,7,2,3,2
