time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,6,2,32,1
2024-08-29 00:00:00+00:00,2,1,14,2
2024-08-30 00:00:00+00:00,39,2,5,1
2024-08-31 00:00:00+00:00,0,0,1,1
2024-09-03 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,13,2,7,1
2024-09-05 00:00:00+00:00,37,2,6,1
2024-09-06 00:00:00+00:00,12,1,8,1
2024-09-08 00:00:00+00:00,0,0,2,2
2024-09-09 00:00:00+00:00,2,1,19,5
2024-09-11 00:00:00+00:00,0,0,12,1
2024-09-12 00:00:00+00:00,0,0,2,2
2024-09-13 00:00:00+00:00,12,1,5,3
2024-09-16 00:00:00+00:00,0,0,1,1
2024-09-19 00:00:00+00:00,1,1,4,2
2024-09-20 00:00:00+00:00,5,1,0,0
2024-09-21 00:00:00+00:00,0,0,2,1
2024-09-23 00:00:00+00:00,1,1,2,1
2024-09-30 00:00:00+00:00,13,2,0,0
2024-10-01 00:00:00+00:00,0,0,2,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,13,2,6,2
2024-10-05 00:00:00+00:00,0,0,1,1
2024-10-06 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,0,0,3,3
2024-10-08 00:00:00+00:00,12,1,9,4
2024-10-09 00:00:00+00:00,0,0,5,4
2024-10-10 00:00:00+00:00,1,1,6,2
2024-10-11 00:00:00+00:00,0,0,3,2
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-13 00:00:00+00:00,0,0,2,1
2024-10-14 00:00:00+00:00,1,1,4,2
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,0,0,3,2
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-19 00:00:00+00:00,0,0,2,2
2024-10-21 00:00:00+00:00,0,0,2,2
2024-10-22 00:00:00+00:00,1,1,11,2
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,0,0,2,1
2024-10-27 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,0,0,3,3
2024-10-29 00:00:00+00:00,13,1,17,2
2024-10-30 00:00:00+00:00,0,0,4,1
2024-10-31 00:00:00+00:00,16,3,3,2
2024-11-02 00:00:00+00:00,1,1,0,0
2024-11-04 00:00:00+00:00,1,1,24,3
2024-11-05 00:00:00+00:00,0,0,10,2
2024-11-06 00:00:00+00:00,1,1,8,2
2024-11-08 00:00:00+00:00,0,0,2,2
2024-11-11 00:00:00+00:00,0,0,12,2
