time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,1,1,0,0
2024-09-15 00:00:00+00:00,1,1,0,0
2024-09-18 00:00:00+00:00,0,0,1,1
2024-09-22 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,1,1,18,2
2024-10-07 00:00:00+00:00,1,1,0,0
2024-10-08 00:00:00+00:00,0,0,6,1
2024-10-11 00:00:00+00:00,1,1,0,0
2024-10-17 00:00:00+00:00,0,0,6,1
2024-10-18 00:00:00+00:00,2,2,2,1
2024-10-21 00:00:00+00:00,0,0,2,1
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,0,0,2,1
2024-11-09 00:00:00+00:00,0,0,1,1
2024-11-12 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,1,1,0,0
2025-01-29 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,2,1,0,0
2025-02-14 00:00:00+00:00,1,1,0,0
2025-02-16 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,1,1,1,1
2025-02-19 00:00:00+00:00,0,0,2,2
2025-02-20 00:00:00+00:00,3,2,5,1
2025-02-21 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,3,2,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,2,2,0,0
2025-03-14 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,2,2,0,0
2025-04-10 00:00:00+00:00,1,1,0,0
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-17 00:00:00+00:00,0,0,2,1
2025-04-18 00:00:00+00:00,2,2,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-26 00:00:00+00:00,0,0,1,1
