time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,0,0,12,3
2025-03-12 00:00:00+00:00,4,4,43,1
2025-03-13 00:00:00+00:00,1,1,4,1
2025-03-15 00:00:00+00:00,1,1,3,1
2025-03-17 00:00:00+00:00,0,0,8,1
2025-03-19 00:00:00+00:00,0,0,2,1
2025-03-20 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,2,1
2025-03-24 00:00:00+00:00,2,2,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-09 00:00:00+00:00,0,0,6,2
2025-04-10 00:00:00+00:00,244,86,2,1
2025-04-11 00:00:00+00:00,249,109,0,0
2025-04-12 00:00:00+00:00,249,110,0,0
2025-04-13 00:00:00+00:00,42,27,0,0
