time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,2,2,37,6
2024-08-28 00:00:00+00:00,1,1,558,48
2024-08-29 00:00:00+00:00,3,3,271,37
2024-08-30 00:00:00+00:00,2,2,122,32
2024-08-31 00:00:00+00:00,3,3,36,20
2024-09-01 00:00:00+00:00,0,0,130,19
2024-09-02 00:00:00+00:00,2,2,145,40
2024-09-03 00:00:00+00:00,0,0,272,51
2024-09-04 00:00:00+00:00,1,1,212,39
2024-09-05 00:00:00+00:00,2,2,247,35
2024-09-06 00:00:00+00:00,1,1,124,36
2024-09-07 00:00:00+00:00,5,5,230,23
2024-09-08 00:00:00+00:00,3,3,83,26
2024-09-09 00:00:00+00:00,1,1,156,50
2024-09-10 00:00:00+00:00,3,3,130,49
2024-09-11 00:00:00+00:00,0,0,304,55
2024-09-12 00:00:00+00:00,0,0,207,58
