time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-06 00:00:00+00:00,1.0,1.0,1,1
2025-04-07 00:00:00+00:00,,,7,4
2025-04-08 00:00:00+00:00,1.0,1.0,7,5
2025-04-09 00:00:00+00:00,4.0,3.0,4,4
2025-04-10 00:00:00+00:00,3.0,3.0,5,5
2025-04-11 00:00:00+00:00,2.0,2.0,5,2
2025-04-12 00:00:00+00:00,1.0,1.0,5,3
2025-04-14 00:00:00+00:00,5.0,5.0,21,10
2025-04-15 00:00:00+00:00,4.0,3.0,13,4
2025-04-16 00:00:00+00:00,1.0,1.0,3,3
2025-04-17 00:00:00+00:00,2.0,1.0,1,1
2025-04-18 00:00:00+00:00,1.0,1.0,6,2
