time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-16 00:00:00+00:00,,,37,10
2025-01-17 00:00:00+00:00,,,20,6
2025-01-18 00:00:00+00:00,,,5,1
2025-01-19 00:00:00+00:00,,,2,2
2025-01-20 00:00:00+00:00,2.0,2.0,19,8
2025-01-21 00:00:00+00:00,,,14,5
2025-01-22 00:00:00+00:00,,,30,7
2025-01-23 00:00:00+00:00,1.0,1.0,16,10
2025-01-24 00:00:00+00:00,3.0,3.0,39,15
2025-01-25 00:00:00+00:00,1.0,1.0,14,6
2025-01-26 00:00:00+00:00,2.0,2.0,3,2
2025-01-27 00:00:00+00:00,2.0,2.0,20,7
2025-01-28 00:00:00+00:00,,,26,6
2025-01-29 00:00:00+00:00,3.0,2.0,17,12
