time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-12 00:00:00+00:00,,,2,2
2024-12-13 00:00:00+00:00,,,11,2
2024-12-14 00:00:00+00:00,,,2,1
2024-12-15 00:00:00+00:00,2.0,1.0,2,1
2024-12-16 00:00:00+00:00,11.0,2.0,20,3
2024-12-17 00:00:00+00:00,23.0,4.0,65,7
2024-12-18 00:00:00+00:00,,,3,1
2024-12-19 00:00:00+00:00,17.0,4.0,31,7
2024-12-20 00:00:00+00:00,3.0,2.0,2,2
2024-12-22 00:00:00+00:00,,,1,1
2024-12-23 00:00:00+00:00,,,2,2
2024-12-24 00:00:00+00:00,,,2,1
2024-12-25 00:00:00+00:00,,,1,1
