time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,4,2
2024-08-30 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,8,2
2024-09-03 00:00:00+00:00,0,0,2,2
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-06 00:00:00+00:00,6,3,42,3
2024-09-07 00:00:00+00:00,0,0,3,2
2024-09-08 00:00:00+00:00,0,0,4,4
2024-09-09 00:00:00+00:00,0,0,2,2
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,0,0,1,1
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-14 00:00:00+00:00,0,0,2,2
2024-09-16 00:00:00+00:00,2,1,17,3
2024-09-17 00:00:00+00:00,1,1,24,5
2024-09-18 00:00:00+00:00,7,3,75,3
2024-09-19 00:00:00+00:00,0,0,48,6
2024-09-20 00:00:00+00:00,3,3,1,1
2024-09-21 00:00:00+00:00,0,0,2,1
2024-09-23 00:00:00+00:00,0,0,15,4
2024-09-26 00:00:00+00:00,0,0,17,1
2024-09-27 00:00:00+00:00,0,0,2,1
2024-09-29 00:00:00+00:00,0,0,2,1
2024-09-30 00:00:00+00:00,0,0,4,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,0,0,3,1
