time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,1,1
2024-08-30 00:00:00+00:00,3,3,3,1
2024-08-31 00:00:00+00:00,3,3,1,1
2024-09-02 00:00:00+00:00,3,3,0,0
2024-09-03 00:00:00+00:00,0,0,1,1
2024-09-05 00:00:00+00:00,0,0,5,1
2024-09-07 00:00:00+00:00,0,0,1,1
2024-09-09 00:00:00+00:00,0,0,1,1
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-14 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,0,0,3,1
2024-09-20 00:00:00+00:00,4,3,32,2
2024-09-25 00:00:00+00:00,0,0,5,1
2024-09-26 00:00:00+00:00,1,1,2,1
2024-10-02 00:00:00+00:00,1,1,3,1
2024-10-07 00:00:00+00:00,0,0,9,1
2024-10-09 00:00:00+00:00,0,0,1,1
2024-10-17 00:00:00+00:00,0,0,2,1
2024-10-18 00:00:00+00:00,0,0,2,1
2024-10-20 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,1,1
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,1,1,0,0
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,1,1,2,1
2024-11-14 00:00:00+00:00,0,0,1,1
