time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-25 00:00:00+00:00,9,7,67,4
2024-09-26 00:00:00+00:00,1,1,38,14
2024-09-27 00:00:00+00:00,0,0,8,5
2024-09-28 00:00:00+00:00,1,1,2,1
2024-09-29 00:00:00+00:00,1,1,1,1
2024-09-30 00:00:00+00:00,0,0,5,2
2024-10-01 00:00:00+00:00,0,0,2,2
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-03 00:00:00+00:00,0,0,3,3
2024-10-07 00:00:00+00:00,0,0,2,1
2024-10-08 00:00:00+00:00,0,0,2,2
2024-10-10 00:00:00+00:00,0,0,1,1
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,2,2
2024-10-17 00:00:00+00:00,1,1,14,2
2024-10-18 00:00:00+00:00,1,1,5,4
2024-10-21 00:00:00+00:00,0,0,2,2
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-24 00:00:00+00:00,1,1,19,3
2024-10-26 00:00:00+00:00,0,0,2,1
2024-10-28 00:00:00+00:00,0,0,2,2
2024-10-29 00:00:00+00:00,0,0,14,2
2024-11-01 00:00:00+00:00,1,1,6,1
2024-11-03 00:00:00+00:00,0,0,2,2
2024-11-04 00:00:00+00:00,0,0,3,1
2024-11-05 00:00:00+00:00,2,2,26,3
2024-11-06 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,9,7
2024-11-08 00:00:00+00:00,0,0,4,4
2024-11-09 00:00:00+00:00,0,0,5,5
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,0,0,34,4
2024-11-15 00:00:00+00:00,0,0,3,1
2024-11-16 00:00:00+00:00,0,0,2,2
2024-11-17 00:00:00+00:00,0,0,2,1
2024-11-18 00:00:00+00:00,0,0,7,3
2024-11-19 00:00:00+00:00,0,0,1,1
