time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,12,5,0,0
2024-08-29 00:00:00+00:00,3,2,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,7,2,0,0
2024-09-03 00:00:00+00:00,33,1,17,1
2024-09-04 00:00:00+00:00,27,3,0,0
2024-09-05 00:00:00+00:00,31,4,0,0
2024-09-06 00:00:00+00:00,25,3,0,0
2024-09-07 00:00:00+00:00,5,1,0,0
2024-09-08 00:00:00+00:00,2,1,3,1
2024-09-09 00:00:00+00:00,69,6,0,0
2024-09-10 00:00:00+00:00,35,3,0,0
2024-09-11 00:00:00+00:00,10,2,0,0
2024-09-12 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,16,1,62,1
2024-09-14 00:00:00+00:00,5,3,0,0
2024-09-16 00:00:00+00:00,5,3,0,0
2024-09-17 00:00:00+00:00,19,4,0,0
2024-09-18 00:00:00+00:00,9,2,0,0
2024-09-19 00:00:00+00:00,19,4,0,0
2024-09-20 00:00:00+00:00,11,2,0,0
2024-09-23 00:00:00+00:00,15,1,0,0
2024-09-24 00:00:00+00:00,23,3,0,0
2024-09-25 00:00:00+00:00,0,0,72,2
2024-09-26 00:00:00+00:00,3,1,0,0
2024-09-30 00:00:00+00:00,6,4,0,0
2024-10-01 00:00:00+00:00,10,3,0,0
2024-10-02 00:00:00+00:00,25,6,0,0
2024-10-03 00:00:00+00:00,9,3,0,0
2024-10-04 00:00:00+00:00,29,2,0,0
2024-10-06 00:00:00+00:00,9,1,0,0
2024-10-07 00:00:00+00:00,50,8,0,0
2024-10-08 00:00:00+00:00,96,5,0,0
2024-10-09 00:00:00+00:00,25,2,0,0
2024-10-10 00:00:00+00:00,12,2,0,0
2024-10-11 00:00:00+00:00,8,1,0,0
2024-10-14 00:00:00+00:00,5,1,0,0
2024-10-15 00:00:00+00:00,16,1,0,0
2024-10-16 00:00:00+00:00,19,2,0,0
2024-10-17 00:00:00+00:00,13,2,0,0
2024-10-18 00:00:00+00:00,8,2,0,0
2024-10-21 00:00:00+00:00,26,2,0,0
2024-10-23 00:00:00+00:00,7,2,0,0
2024-10-24 00:00:00+00:00,10,2,0,0
2024-10-25 00:00:00+00:00,1,1,0,0
2024-10-29 00:00:00+00:00,42,2,1,1
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,2,1,0,0
2024-11-12 00:00:00+00:00,11,1,0,0
2024-11-14 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,6,2,1,1
2024-11-26 00:00:00+00:00,25,4,0,0
2024-11-27 00:00:00+00:00,0,0,2,2
2024-11-28 00:00:00+00:00,1,1,2,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-03 00:00:00+00:00,25,2,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-09 00:00:00+00:00,12,1,2,1
2024-12-10 00:00:00+00:00,23,1,0,0
2024-12-11 00:00:00+00:00,4,1,0,0
2024-12-18 00:00:00+00:00,13,1,0,0
2024-12-19 00:00:00+00:00,9,1,3,1
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,8,1,0,0
2025-01-07 00:00:00+00:00,3,1,0,0
2025-01-08 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,3,1,1,1
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,8,2,0,0
2025-01-16 00:00:00+00:00,24,2,0,0
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-18 00:00:00+00:00,0,0,3,1
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,11,1,0,0
2025-01-23 00:00:00+00:00,26,3,0,0
2025-01-24 00:00:00+00:00,2,1,0,0
2025-01-27 00:00:00+00:00,23,1,0,0
2025-01-28 00:00:00+00:00,39,2,0,0
2025-01-29 00:00:00+00:00,53,5,0,0
2025-01-30 00:00:00+00:00,72,4,0,0
2025-01-31 00:00:00+00:00,82,1,0,0
2025-02-03 00:00:00+00:00,32,2,0,0
2025-02-04 00:00:00+00:00,4,3,0,0
2025-02-05 00:00:00+00:00,46,1,0,0
2025-02-06 00:00:00+00:00,14,2,0,0
2025-02-07 00:00:00+00:00,2,1,0,0
2025-02-10 00:00:00+00:00,16,2,0,0
2025-02-12 00:00:00+00:00,16,2,1,1
2025-02-13 00:00:00+00:00,68,4,0,0
2025-02-14 00:00:00+00:00,30,2,0,0
2025-02-17 00:00:00+00:00,80,1,0,0
2025-02-18 00:00:00+00:00,19,3,0,0
