time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-01 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,0,0,2,2
2024-09-05 00:00:00+00:00,1,1,3,3
2024-09-06 00:00:00+00:00,0,0,33,1
2024-09-07 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,0,0,2,2
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,0,0,1,1
2024-09-14 00:00:00+00:00,1,1,2,2
2024-09-15 00:00:00+00:00,0,0,1,1
2024-09-25 00:00:00+00:00,0,0,1,1
2024-09-27 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,0,0,1,1
2024-10-05 00:00:00+00:00,1,1,0,0
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-17 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,2,2,0,0
2024-10-19 00:00:00+00:00,0,0,2,2
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,0,0,1,1
2024-11-05 00:00:00+00:00,1,1,0,0
2024-11-12 00:00:00+00:00,0,0,1,1
