time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,2,1
2024-08-29 00:00:00+00:00,0,0,1,1
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,0,0,1,1
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-18 00:00:00+00:00,0,0,1,1
2024-09-23 00:00:00+00:00,0,0,12,1
2024-09-24 00:00:00+00:00,0,0,3,1
2024-09-25 00:00:00+00:00,0,0,3,2
2024-09-26 00:00:00+00:00,1,1,1,1
2024-09-27 00:00:00+00:00,1,1,1,1
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-05 00:00:00+00:00,2,2,0,0
2024-10-07 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,2,2
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,1,1
2024-10-22 00:00:00+00:00,1,1,0,0
2024-10-23 00:00:00+00:00,1,1,1,1
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,3,3
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,1,1,0,0
2024-11-06 00:00:00+00:00,0,0,5,2
2024-11-10 00:00:00+00:00,0,0,4,1
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-24 00:00:00+00:00,0,0,3,1
2024-11-29 00:00:00+00:00,1,1,0,0
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-15 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,0,0,4,1
2024-12-17 00:00:00+00:00,1,1,0,0
2024-12-19 00:00:00+00:00,1,1,13,1
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-31 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,4,1
2025-01-14 00:00:00+00:00,0,0,3,2
2025-01-16 00:00:00+00:00,0,0,1,1
2025-01-17 00:00:00+00:00,3,2,0,0
2025-01-21 00:00:00+00:00,0,0,3,1
2025-01-24 00:00:00+00:00,0,0,3,1
2025-01-25 00:00:00+00:00,0,0,1,1
2025-01-26 00:00:00+00:00,0,0,1,1
2025-01-28 00:00:00+00:00,0,0,1,1
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,6,1
2025-02-06 00:00:00+00:00,0,0,2,2
2025-02-07 00:00:00+00:00,0,0,2,2
2025-02-09 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,2,1,0,0
2025-02-17 00:00:00+00:00,2,1,0,0
2025-02-18 00:00:00+00:00,2,2,0,0
2025-02-20 00:00:00+00:00,3,2,1,1
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,3,2,0,0
2025-02-27 00:00:00+00:00,0,0,13,1
2025-02-28 00:00:00+00:00,0,0,15,2
2025-03-01 00:00:00+00:00,0,0,1,1
2025-03-02 00:00:00+00:00,2,2,1,1
2025-03-06 00:00:00+00:00,1,1,1,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,2,2,0,0
2025-03-25 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-05 00:00:00+00:00,0,0,1,1
2025-04-10 00:00:00+00:00,2,2,0,0
2025-04-14 00:00:00+00:00,1,1,1,1
2025-04-18 00:00:00+00:00,0,0,1,1
