time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-30 00:00:00+00:00,0,0,4,1
2024-09-03 00:00:00+00:00,0,0,2,1
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,0,0,5,1
2024-09-11 00:00:00+00:00,1,1,1,1
2024-09-14 00:00:00+00:00,3,3,0,0
2024-09-15 00:00:00+00:00,2,2,0,0
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-11 00:00:00+00:00,1,1,0,0
2024-10-15 00:00:00+00:00,2,2,1,1
2024-10-25 00:00:00+00:00,2,2,0,0
2024-11-01 00:00:00+00:00,0,0,4,2
2024-11-07 00:00:00+00:00,0,0,2,1
2024-11-11 00:00:00+00:00,1,1,0,0
2024-11-12 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-14 00:00:00+00:00,0,0,3,1
