time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-04 00:00:00+00:00,8.0,2.0,32.0,3.0
2024-10-05 00:00:00+00:00,,,2.0,2.0
2024-10-07 00:00:00+00:00,1.0,1.0,,
2024-10-08 00:00:00+00:00,,,6.0,3.0
2024-10-09 00:00:00+00:00,12.0,2.0,18.0,3.0
2024-10-10 00:00:00+00:00,,,6.0,2.0
2024-10-11 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-10-12 00:00:00+00:00,,,1.0,1.0
2024-10-14 00:00:00+00:00,,,2.0,2.0
2024-10-15 00:00:00+00:00,,,1.0,1.0
2024-10-16 00:00:00+00:00,2.0,2.0,46.0,3.0
2024-10-17 00:00:00+00:00,21.0,2.0,151.0,6.0
