time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-29 00:00:00+00:00,2,1,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,0,0,32,2
2024-09-05 00:00:00+00:00,13,6,78,3
2024-09-06 00:00:00+00:00,1,1,10,4
2024-09-08 00:00:00+00:00,0,0,6,5
2024-09-09 00:00:00+00:00,1,1,60,11
2024-09-10 00:00:00+00:00,0,0,14,6
2024-09-11 00:00:00+00:00,16,5,26,4
2024-09-13 00:00:00+00:00,0,0,8,1
2024-09-14 00:00:00+00:00,0,0,5,4
2024-09-17 00:00:00+00:00,0,0,3,3
2024-09-18 00:00:00+00:00,0,0,3,1
2024-09-20 00:00:00+00:00,0,0,5,1
2024-09-23 00:00:00+00:00,12,1,76,3
2024-09-24 00:00:00+00:00,0,0,2,2
2024-09-25 00:00:00+00:00,0,0,8,1
2024-09-26 00:00:00+00:00,4,1,21,2
2024-09-27 00:00:00+00:00,1,1,5,3
2024-09-30 00:00:00+00:00,0,0,10,5
2024-10-01 00:00:00+00:00,0,0,5,4
2024-10-02 00:00:00+00:00,1,1,4,3
2024-10-03 00:00:00+00:00,0,0,6,3
2024-10-04 00:00:00+00:00,8,2,32,3
2024-10-05 00:00:00+00:00,0,0,2,2
2024-10-07 00:00:00+00:00,1,1,0,0
2024-10-08 00:00:00+00:00,0,0,6,3
2024-10-09 00:00:00+00:00,12,2,18,3
2024-10-10 00:00:00+00:00,0,0,6,2
2024-10-11 00:00:00+00:00,1,1,2,2
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,2,2
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,2,2,46,3
2024-10-17 00:00:00+00:00,21,2,151,6
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,6,3,25,3
2024-10-22 00:00:00+00:00,0,0,4,4
2024-10-23 00:00:00+00:00,0,0,1,1
2024-10-24 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,0,0,11,3
2024-10-26 00:00:00+00:00,1,1,4,2
2024-10-28 00:00:00+00:00,0,0,3,3
2024-10-29 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,0,0,5,3
2024-11-03 00:00:00+00:00,0,0,5,2
2024-11-04 00:00:00+00:00,1,1,2,1
2024-11-07 00:00:00+00:00,0,0,7,2
2024-11-09 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,13,5
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,0,0,3,2
2024-11-14 00:00:00+00:00,0,0,75,1
2024-11-15 00:00:00+00:00,0,0,1,1
2024-11-16 00:00:00+00:00,0,0,4,1
2024-11-17 00:00:00+00:00,1,1,27,3
2024-11-18 00:00:00+00:00,0,0,5,4
2024-11-19 00:00:00+00:00,0,0,4,2
2024-11-20 00:00:00+00:00,1,1,1,1
2024-11-21 00:00:00+00:00,0,0,15,7
2024-11-22 00:00:00+00:00,0,0,3,2
2024-11-23 00:00:00+00:00,0,0,6,2
2024-11-24 00:00:00+00:00,0,0,5,3
2024-11-25 00:00:00+00:00,0,0,6,3
2024-11-27 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,0,0,2,2
2024-11-29 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,0,0,3,1
2024-12-02 00:00:00+00:00,0,0,2,1
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,0,0,2,2
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,0,0,5,1
2024-12-09 00:00:00+00:00,0,0,2,1
2024-12-10 00:00:00+00:00,0,0,7,3
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,0,0,4,3
2024-12-15 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,1,1,2,2
2024-12-17 00:00:00+00:00,0,0,3,3
2024-12-20 00:00:00+00:00,1,1,0,0
2024-12-21 00:00:00+00:00,0,0,2,2
2024-12-22 00:00:00+00:00,0,0,2,1
2024-12-24 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,1,1,10,1
2024-12-27 00:00:00+00:00,0,0,8,2
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,9,3
2025-01-03 00:00:00+00:00,1,1,1,1
2025-01-04 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,1,1,1,1
2025-01-08 00:00:00+00:00,0,0,2,2
2025-01-09 00:00:00+00:00,0,0,1,1
2025-01-10 00:00:00+00:00,1,1,9,2
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,2,2
2025-01-14 00:00:00+00:00,0,0,8,3
2025-01-17 00:00:00+00:00,0,0,1,1
2025-01-18 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,1,1,1,1
2025-01-22 00:00:00+00:00,0,0,3,1
2025-01-23 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,1,1
2025-01-28 00:00:00+00:00,0,0,1,1
2025-01-31 00:00:00+00:00,0,0,1,1
2025-02-01 00:00:00+00:00,1,1,5,2
2025-02-02 00:00:00+00:00,0,0,1,1
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-05 00:00:00+00:00,0,0,1,1
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-07 00:00:00+00:00,0,0,1,1
2025-02-09 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,0,0,2,2
2025-02-11 00:00:00+00:00,2,1,0,0
2025-02-13 00:00:00+00:00,2,1,1,1
2025-02-14 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,0,0,2,2
2025-02-18 00:00:00+00:00,1,1,5,3
2025-02-19 00:00:00+00:00,1,1,10,2
2025-02-20 00:00:00+00:00,2,1,8,1
2025-02-21 00:00:00+00:00,18,3,87,4
2025-02-24 00:00:00+00:00,4,3,2,1
2025-02-25 00:00:00+00:00,6,3,42,4
2025-02-26 00:00:00+00:00,0,0,5,2
2025-02-27 00:00:00+00:00,0,0,14,1
2025-02-28 00:00:00+00:00,1,1,16,4
2025-03-02 00:00:00+00:00,2,1,2,2
2025-03-03 00:00:00+00:00,7,3,59,3
2025-03-04 00:00:00+00:00,0,0,10,3
2025-03-05 00:00:00+00:00,0,0,20,4
2025-03-06 00:00:00+00:00,0,0,10,2
2025-03-07 00:00:00+00:00,2,2,12,2
2025-03-09 00:00:00+00:00,0,0,5,2
2025-03-10 00:00:00+00:00,2,2,2,2
2025-03-11 00:00:00+00:00,0,0,2,2
2025-03-12 00:00:00+00:00,20,7,54,3
2025-03-13 00:00:00+00:00,9,5,55,5
2025-03-14 00:00:00+00:00,1,1,3,1
2025-03-15 00:00:00+00:00,3,3,0,0
2025-03-16 00:00:00+00:00,0,0,1,1
2025-03-17 00:00:00+00:00,0,0,14,2
2025-03-18 00:00:00+00:00,1,1,18,2
2025-03-19 00:00:00+00:00,0,0,2,2
2025-03-20 00:00:00+00:00,1,1,14,7
2025-03-21 00:00:00+00:00,2,2,3,2
2025-03-22 00:00:00+00:00,1,1,6,3
2025-03-23 00:00:00+00:00,0,0,24,2
2025-03-24 00:00:00+00:00,2,2,1,1
2025-03-25 00:00:00+00:00,1,1,3,2
2025-03-27 00:00:00+00:00,1,1,3,2
2025-03-28 00:00:00+00:00,1,1,0,0
2025-03-30 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,1,1,1,1
2025-04-02 00:00:00+00:00,1,1,3,2
2025-04-03 00:00:00+00:00,0,0,2,2
2025-04-04 00:00:00+00:00,1,1,20,3
2025-04-05 00:00:00+00:00,0,0,50,1
2025-04-07 00:00:00+00:00,1,1,27,3
2025-04-08 00:00:00+00:00,3,3,26,6
2025-04-09 00:00:00+00:00,2,2,12,3
2025-04-10 00:00:00+00:00,0,0,36,3
2025-04-11 00:00:00+00:00,23,5,87,4
2025-04-12 00:00:00+00:00,0,0,1,1
2025-04-13 00:00:00+00:00,0,0,2,1
2025-04-14 00:00:00+00:00,45,4,95,5
