time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-02 00:00:00+00:00,1.0,1.0,7,3
2025-02-03 00:00:00+00:00,,,1,1
2025-02-04 00:00:00+00:00,1.0,1.0,1,1
2025-02-05 00:00:00+00:00,,,2,2
2025-02-06 00:00:00+00:00,,,7,3
2025-02-07 00:00:00+00:00,,,3,3
2025-02-08 00:00:00+00:00,6.0,1.0,27,8
2025-02-09 00:00:00+00:00,,,20,1
2025-02-10 00:00:00+00:00,1.0,1.0,8,3
2025-02-11 00:00:00+00:00,1.0,1.0,10,3
2025-02-12 00:00:00+00:00,,,5,2
2025-02-13 00:00:00+00:00,2.0,1.0,1,1
2025-02-14 00:00:00+00:00,,,3,3
