time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,0,0,2,1
2024-08-29 00:00:00+00:00,0,0,6,2
2024-08-30 00:00:00+00:00,0,0,15,3
2024-08-31 00:00:00+00:00,2,2,11,4
2024-09-01 00:00:00+00:00,2,2,0,0
2024-09-02 00:00:00+00:00,0,0,7,4
2024-09-03 00:00:00+00:00,1,1,2,1
2024-09-04 00:00:00+00:00,2,2,5,2
2024-09-09 00:00:00+00:00,0,0,7,1
2024-09-10 00:00:00+00:00,3,1,8,1
2024-09-11 00:00:00+00:00,4,4,0,0
2024-09-13 00:00:00+00:00,0,0,2,1
2024-09-14 00:00:00+00:00,3,3,0,0
2024-09-15 00:00:00+00:00,0,0,12,1
2024-09-17 00:00:00+00:00,0,0,4,2
2024-09-20 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,0,0,2,1
2024-09-24 00:00:00+00:00,0,0,2,1
2024-09-26 00:00:00+00:00,0,0,1,1
2024-09-27 00:00:00+00:00,2,2,0,0
2024-09-28 00:00:00+00:00,2,2,0,0
2024-09-29 00:00:00+00:00,1,1,46,1
2024-09-30 00:00:00+00:00,0,0,6,1
2024-10-01 00:00:00+00:00,0,0,2,1
2024-10-02 00:00:00+00:00,3,3,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-04 00:00:00+00:00,2,1,8,7
2024-10-05 00:00:00+00:00,1,1,2,1
2024-10-07 00:00:00+00:00,0,0,6,2
2024-10-08 00:00:00+00:00,1,1,7,3
2024-10-09 00:00:00+00:00,0,0,10,3
2024-10-10 00:00:00+00:00,0,0,3,2
2024-10-11 00:00:00+00:00,0,0,3,3
2024-10-15 00:00:00+00:00,0,0,2,1
2024-10-17 00:00:00+00:00,0,0,1,1
2024-10-20 00:00:00+00:00,0,0,6,3
2024-10-22 00:00:00+00:00,0,0,13,3
2024-10-23 00:00:00+00:00,0,0,3,3
2024-10-24 00:00:00+00:00,0,0,4,3
2024-10-25 00:00:00+00:00,1,1,2,2
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,12,3
2024-10-30 00:00:00+00:00,0,0,1,1
2024-10-31 00:00:00+00:00,0,0,2,1
2024-11-01 00:00:00+00:00,2,2,0,0
2024-11-02 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,2,2
2024-11-08 00:00:00+00:00,0,0,2,2
2024-11-09 00:00:00+00:00,0,0,10,2
2024-11-10 00:00:00+00:00,0,0,2,1
2024-11-11 00:00:00+00:00,0,0,6,3
