time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-30 00:00:00+00:00,7,4,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,1,1,1,1
2024-09-04 00:00:00+00:00,0,0,1,1
2024-09-12 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,1,1,3,2
2024-09-20 00:00:00+00:00,1,1,1,1
2024-09-22 00:00:00+00:00,1,1,0,0
2024-09-24 00:00:00+00:00,0,0,1,1
2024-09-28 00:00:00+00:00,1,1,0,0
2024-09-30 00:00:00+00:00,0,0,2,1
2024-10-03 00:00:00+00:00,0,0,5,2
2024-10-04 00:00:00+00:00,0,0,2,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-16 00:00:00+00:00,0,0,2,2
2024-10-28 00:00:00+00:00,0,0,3,2
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,1,1
