time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-29 00:00:00+00:00,3.0,3.0,5,5
2025-03-30 00:00:00+00:00,4.0,4.0,5,5
2025-03-31 00:00:00+00:00,25.0,7.0,126,16
2025-04-01 00:00:00+00:00,2.0,2.0,30,8
2025-04-02 00:00:00+00:00,23.0,6.0,27,8
2025-04-03 00:00:00+00:00,2.0,2.0,81,16
2025-04-04 00:00:00+00:00,18.0,3.0,6,6
2025-04-05 00:00:00+00:00,4.0,4.0,6,4
2025-04-06 00:00:00+00:00,,,17,4
2025-04-07 00:00:00+00:00,61.0,7.0,58,13
2025-04-08 00:00:00+00:00,5.0,5.0,22,8
2025-04-09 00:00:00+00:00,1.0,1.0,51,11
2025-04-10 00:00:00+00:00,21.0,4.0,87,15
2025-04-11 00:00:00+00:00,26.0,7.0,18,7
