time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-22 00:00:00+00:00,17,15,1.0,1.0
2024-12-23 00:00:00+00:00,10,9,13.0,4.0
2024-12-24 00:00:00+00:00,15,10,27.0,5.0
2024-12-25 00:00:00+00:00,13,11,14.0,3.0
2024-12-26 00:00:00+00:00,10,9,13.0,3.0
2024-12-27 00:00:00+00:00,12,12,4.0,2.0
2024-12-28 00:00:00+00:00,13,9,2.0,2.0
2024-12-29 00:00:00+00:00,5,5,1.0,1.0
2024-12-30 00:00:00+00:00,5,4,43.0,2.0
2024-12-31 00:00:00+00:00,3,3,,
2025-01-01 00:00:00+00:00,8,7,,
2025-01-02 00:00:00+00:00,12,10,2.0,1.0
2025-01-03 00:00:00+00:00,9,9,44.0,8.0
2025-01-04 00:00:00+00:00,4,4,3.0,2.0
