time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-21 00:00:00+00:00,1.0,1.0,27,2
2025-01-22 00:00:00+00:00,,,65,2
2025-01-23 00:00:00+00:00,,,21,2
2025-01-24 00:00:00+00:00,,,1,1
2025-01-25 00:00:00+00:00,,,1,1
2025-01-26 00:00:00+00:00,,,9,2
2025-01-27 00:00:00+00:00,,,25,4
2025-01-28 00:00:00+00:00,,,2,1
2025-01-30 00:00:00+00:00,1.0,1.0,1,1
2025-01-31 00:00:00+00:00,1.0,1.0,41,4
2025-02-01 00:00:00+00:00,,,1,1
2025-02-02 00:00:00+00:00,1.0,1.0,7,1
2025-02-03 00:00:00+00:00,,,1,1
