time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,4,2
2024-08-29 00:00:00+00:00,0,0,6,4
2024-08-30 00:00:00+00:00,0,0,21,2
2024-08-31 00:00:00+00:00,0,0,4,1
2024-09-01 00:00:00+00:00,0,0,2,2
2024-09-02 00:00:00+00:00,0,0,11,3
2024-09-03 00:00:00+00:00,0,0,65,4
2024-09-04 00:00:00+00:00,0,0,13,2
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-06 00:00:00+00:00,0,0,50,4
2024-09-10 00:00:00+00:00,0,0,48,7
2024-09-11 00:00:00+00:00,0,0,5,3
2024-09-12 00:00:00+00:00,0,0,42,3
2024-09-13 00:00:00+00:00,0,0,41,2
