time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-13 00:00:00+00:00,42.0,35.0,23,6
2025-02-14 00:00:00+00:00,68.0,61.0,20,4
2025-02-15 00:00:00+00:00,,,1,1
2025-02-16 00:00:00+00:00,,,7,3
2025-02-17 00:00:00+00:00,29.0,22.0,2,2
2025-02-18 00:00:00+00:00,50.0,48.0,10,3
2025-02-19 00:00:00+00:00,66.0,60.0,17,8
2025-02-20 00:00:00+00:00,3.0,2.0,6,4
2025-02-21 00:00:00+00:00,17.0,17.0,7,4
2025-02-22 00:00:00+00:00,3.0,3.0,5,2
2025-02-24 00:00:00+00:00,16.0,16.0,6,4
2025-02-25 00:00:00+00:00,19.0,19.0,10,4
2025-02-26 00:00:00+00:00,36.0,34.0,30,9
