time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,3,1,0,0
2024-08-28 00:00:00+00:00,6,2,6,3
2024-08-29 00:00:00+00:00,9,2,0,0
2024-08-30 00:00:00+00:00,1,1,1,1
2024-09-01 00:00:00+00:00,0,0,1,1
2024-09-02 00:00:00+00:00,2,1,0,0
2024-09-03 00:00:00+00:00,1,1,30,2
2024-09-04 00:00:00+00:00,4,2,97,6
2024-09-05 00:00:00+00:00,8,3,28,1
2024-09-06 00:00:00+00:00,0,0,4,4
2024-09-07 00:00:00+00:00,2,2,3,1
2024-09-08 00:00:00+00:00,0,0,3,3
2024-09-09 00:00:00+00:00,0,0,10,5
2024-09-10 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,0,0,24,3
2024-09-12 00:00:00+00:00,0,0,3,3
2024-09-13 00:00:00+00:00,2,2,18,2
2024-09-14 00:00:00+00:00,0,0,38,4
2024-09-15 00:00:00+00:00,0,0,13,2
2024-09-16 00:00:00+00:00,0,0,13,3
2024-09-17 00:00:00+00:00,1,1,29,3
2024-09-18 00:00:00+00:00,3,1,11,6
2024-09-19 00:00:00+00:00,0,0,34,6
2024-09-20 00:00:00+00:00,0,0,10,5
2024-09-21 00:00:00+00:00,2,1,1,1
2024-09-22 00:00:00+00:00,0,0,9,2
