url_path,views_total,views_unique
/quic/qidk,294,174
/quic/qidk/tree/master,125,54
/quic/qidk/tree/master/Solutions,101,63
/quic/qidk/issues/33,87,57
/quic/qidk/tree/master/Tools/snpe_qnn_docker,83,33
/quic/qidk/tree/master/Examples,80,49
/quic/qidk/tree/master/Tools,71,40
/quic/qidk/blob/master/Model-Enablement/Model-Accuracy-Mixed-Precision/Accuracy_Analyzer_YoloV8.ipynb,68,35
/quic/qidk/blob/master/Examples/QNN-Model-Example-SESR/README.md,62,45
/quic/qidk/tree/master/Model-Enablement/Model-Accuracy-Mixed-Precision,54,31
