time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,1,1,399,41
2024-08-29 00:00:00+00:00,8,7,489,63
2024-08-30 00:00:00+00:00,6,6,554,60
2024-08-31 00:00:00+00:00,0,0,68,15
2024-09-01 00:00:00+00:00,1,1,54,8
2024-09-02 00:00:00+00:00,2,2,681,60
2024-09-03 00:00:00+00:00,2,2,1062,79
2024-09-04 00:00:00+00:00,1,1,513,70
2024-09-05 00:00:00+00:00,5,5,732,74
2024-09-06 00:00:00+00:00,2,2,772,60
2024-09-07 00:00:00+00:00,1,1,56,8
2024-09-08 00:00:00+00:00,0,0,246,13
2024-09-09 00:00:00+00:00,5,4,495,70
2024-09-10 00:00:00+00:00,1,1,1466,74
2024-09-11 00:00:00+00:00,3,3,854,79
2024-09-12 00:00:00+00:00,0,0,436,50
2024-09-13 00:00:00+00:00,0,0,482,52
2024-09-14 00:00:00+00:00,1,1,225,28
