time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-01 00:00:00+00:00,,,2,2
2025-05-02 00:00:00+00:00,1.0,1.0,1,1
2025-05-04 00:00:00+00:00,,,1,1
2025-05-05 00:00:00+00:00,1.0,1.0,5,3
2025-05-06 00:00:00+00:00,,,2,2
2025-05-07 00:00:00+00:00,,,21,4
2025-05-08 00:00:00+00:00,,,63,7
2025-05-09 00:00:00+00:00,2.0,1.0,22,7
2025-05-10 00:00:00+00:00,,,19,16
2025-05-11 00:00:00+00:00,,,5,5
2025-05-12 00:00:00+00:00,,,12,2
2025-05-13 00:00:00+00:00,1.0,1.0,19,6
2025-05-14 00:00:00+00:00,,,4,4
