time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-21 00:00:00+00:00,0,0,13,2
2024-11-22 00:00:00+00:00,0,0,2,2
2024-11-23 00:00:00+00:00,0,0,3,3
2024-11-25 00:00:00+00:00,0,0,2,2
2024-11-26 00:00:00+00:00,0,0,11,3
2024-11-27 00:00:00+00:00,0,0,3,3
2024-11-28 00:00:00+00:00,0,0,4,3
2024-11-30 00:00:00+00:00,0,0,3,1
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,0,0,20,4
2024-12-05 00:00:00+00:00,0,0,10,4
2024-12-06 00:00:00+00:00,0,0,2,2
2024-12-09 00:00:00+00:00,0,0,23,3
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,1,1,33,5
2024-12-12 00:00:00+00:00,0,0,3,1
2024-12-13 00:00:00+00:00,0,0,2,2
2024-12-17 00:00:00+00:00,0,0,3,1
2024-12-18 00:00:00+00:00,1,1,24,6
2024-12-19 00:00:00+00:00,2,1,3,2
2024-12-20 00:00:00+00:00,0,0,13,1
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,5,1
2024-12-24 00:00:00+00:00,1,1,2,2
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,4,2
2024-12-28 00:00:00+00:00,0,0,1,1
2024-12-30 00:00:00+00:00,0,0,5,2
2024-12-31 00:00:00+00:00,0,0,1,1
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,11,5
2025-01-03 00:00:00+00:00,0,0,16,4
2025-01-06 00:00:00+00:00,0,0,4,4
2025-01-08 00:00:00+00:00,0,0,10,1
2025-01-09 00:00:00+00:00,0,0,6,5
2025-01-10 00:00:00+00:00,1,1,1,1
